Architektura [do 2014-09-30 Architektura i urbanistyka];"Politechnika Świętokrzyska w Kielcach; Wydział Budownictwa i Architektury"
Architektura [do 2012-06-24 Architektura i urbanistyka];"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Budownictwa i Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Gdańska; Wydział Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Politechnika Rzeszowska im. Ignacego Łukasiewicza; Wydział Budownictwa, Inżynierii Środowiska i Architektury"
Architektura [do 2012-09-30 Architektura i urbanistyka];"Wyższa Szkoła Ekologii i Zarządzania w Warszawie; Wydział Architektury"
Architektura [do 2014-09-30 Architektura i urbanistyka];"Politechnika Poznańska; Wydział Architektury"
Architektura [do 2015-03-29 Architektura i urbanistyka];"Politechnika Śląska; Wydział Architektury"
Architektura i urbanistyka;"Politechnika Łódzka; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Uniwersytet Zielonogórski; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Budownictwa, Architektury i Inżynierii Środowiska"
Architektura i urbanistyka;"Politechnika Białostocka; Wydział Architektury"
Architektura i urbanistyka;"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydział Architektury i Sztuk Pięknych"
Architektura i urbanistyka;"Politechnika Warszawska; Wydział Architektury"
Architektura i urbanistyka;"Uniwersytet Artystyczny w Poznaniu; Wydział Architektury i Wzornictwa"
Architektura krajobrazu;"Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Kształtowania Środowiska i Rolnictwa"
Architektura krajobrazu;"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Ogrodnictwa, Biotechnologii i Architektury Krajobrazu"
Architektura krajobrazu;"Politechnika Białostocka; Wydział Budownictwa i Inżynierii Środowiska"
Architektura krajobrazu;"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Kształtowania Środowiska i Rolnictwa"
Architektura krajobrazu;"Uniwersytet Przyrodniczy w Lublinie; Wydział Ogrodnictwa i Architektury Krajobrazu"
Architektura krajobrazu;"Uniwersytet Przyrodniczy w Poznaniu; Wydział Ogrodnictwa i Architektury Krajobrazu"
Architektura krajobrazu;"Uniwersytet Przyrodniczy we Wrocławiu; Wydział Inżynierii Kształtowania Środowiska i Geodezji"
Architektura krajobrazu;"Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Architektury"
Architektura krajobrazu;"Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie; Wydział Matematyki, Informatyki i Architektury Krajobrazu"
Architektura krajobrazu;"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa
Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Inżynierii Środowiska i Geodezji"
Architektura krajobrazu;"Uniwersytet Rzeszowski; Wydział Biologiczno-Rolniczy"
Architektura wnętrz;"Politechnika Śląska; Wydział Architektury"
Architektura wnętrz;"Akademia Sztuk Pięknych w Warszawie; Wydział Architektury Wnętrz"
Architektura wnętrz;"Politechnika Białostocka; Wydział Architektury"
Architektura wnętrz;"Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu; Wydział Architektury Wnętrz i Wzornictwa"
Architektura wnętrz;"Akademia Sztuk Pięknych w Gdańsku; Wydział Architektury i Wzornictwa"
Architektura wnętrz;"Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi; Wydział Wzornictwa i Architektury Wnętrz"
Architektura wnętrz;"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie; Wydział Architektury Wnętrz"
