Budownictwo;Państwowa Wyższa Szkoła Zawodowa im. Stanisława Pigonia w Krośnie
Budownictwo;"Wyższa Szkoła Gospodarki w Bydgoszczy; Wydział Studiów Stosowanych"
Budownictwo;"Wyższa Szkoła Techniczna we Włocławku; Wydział Nauk Technicznych"
Budownictwo;"Akademia Finansów i Biznesu Vistula; Wydział Inżynierski"
Budownictwo;"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Mechaniczny"
Budownictwo;"Wyższa Szkoła Techniczna w Katowicach; Wydział Architektury, Budownictwa i Sztuk Stosowanych"
Budownictwo;"Collegium Mazovia Innowacyjna Szkoła Wyższa w Siedlcach; Wydział Nauk Stosowanych"
Budownictwo;"Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej; Wydział Nauk Ekonomicznych i Technicznych"
Budownictwo;"Państwowa Wyższa Szkoła Zawodowa w Koninie; Wydział Budownictwa, Mechaniki i Inżynierii Środowiska"
Budownictwo;"Państwowa Wyższa Szkoła Zawodowa w Koninie; Wydział Budownictwa, Mechaniki i Inżynierii Środowiska"
Budownictwo;"Uczelnia Techniczno-Handlowa im. Heleny Chodkowskiej; Wydział Inżynieryjny"
Budownictwo;Państwowa Wyższa Szkoła Zawodowa w Elblągu
Budownictwo;"Wyższa Inżynierska Szkoła Bezpieczeństwa i Organizacji Pracy w Radomiu; Wydział Budownictwa i Bezpieczeństwa Pracy"
Chemia;"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Nowych Technologii i Chemii"
Chemia;"Wyższa Szkoła Zawodowa Łódzkiej Korporacji Oświatowej w Łodzi; Wydział Chemii Stosowanej"
Chemia techniczna;"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Zamiejscowy w Puławach"
Edukacja techniczno-informatyczna;"Uniwersytet Zielonogórski; Wydział Mechaniczny"
Edukacja techniczno-informatyczna;"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydział Matematyczno-Fizyczno-Techniczny"
Edukacja techniczno-informatyczna;"Politechnika Białostocka; Wydział Mechaniczny"
Edukacja techniczno-informatyczna;"Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy"
Edukacja techniczno-informatyczna;"Politechnika Lubelska; Wydział Podstaw Techniki"
Edukacja techniczno-informatyczna;"Politechnika Koszalińska; Wydział Elektroniki i Informatyki"
Edukacja techniczno-informatyczna;"Wyższa Szkoła Ekologii i Zarządzania w Warszawie; Wydział Ekologii"
Edukacja techniczno-informatyczna;"Wyższa Szkoła Pedagogiczno-Techniczna w Koninie; Wydział Nauk Humanistycznych i Technicznych"
Edukacja techniczno-informatyczna;"Wyższa Szkoła Techniczno-Ekonomiczna w Szczecinie; Wydział Transportu Samochodowego"
Elektronika i telekomunikacja;"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Elektroniki"
Elektronika i telekomunikacja;"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Elektronika i telekomunikacja;"Uniwersytet Zielonogórski; Wydział Elektrotechniki, Informatyki i Telekomunikacji"
Elektronika i telekomunikacja;"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Telekomunikacji, Informatyki i Elektrotechniki"
Elektronika i telekomunikacja;"Politechnika Poznańska; Wydział Elektroniki i Telekomunikacji"
Elektronika i telekomunikacja;"Politechnika Rzeszowska im. Ignacego Łukasiewicza; Wydział Elektrotechniki i Informatyki"
Elektronika i telekomunikacja;"Politechnika Śląska; Wydział Automatyki, Elektroniki i Informatyki"
Elektronika i telekomunikacja;"Państwowa Wyższa Szkoła Techniczno-Ekonomiczna im. ks. Bronisława Markiewicza w Jarosławiu; Instytut Inżynierii Technicznej"
Elektronika i telekomunikacja;"Politechnika Śląska; Wydział Elektryczny"
Elektronika i telekomunikacja;"Politechnika Białostocka; Wydział Elektryczny"
Elektronika i telekomunikacja;"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Elektryczny"
Elektronika i telekomunikacja;"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji"
Elektronika i telekomunikacja;"Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych"
Elektronika i telekomunikacja;"Politechnika Koszalińska; Wydział Elektroniki i Informatyki"
Elektronika i telekomunikacja;"Politechnika Częstochowska; Wydział Elektryczny"
Elektronika i telekomunikacja;"Akademia Morska w Gdyni; Wydział Elektryczny"
Elektronika i telekomunikacja;"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji"
Elektrotechnika;"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Elektrotechnika;"Uniwersytet Zielonogórski; Wydział Elektrotechniki, Informatyki i Telekomunikacji"
Elektrotechnika;"Politechnika Poznańska; Wydział Elektryczny"
Elektrotechnika;Państwowa Wyższa Szkoła Zawodowa im. Jana Amosa Komeńskiego w Lesznie
Elektrotechnika;"Politechnika Rzeszowska im. Ignacego Łukasiewicza; Wydział Elektrotechniki i Informatyki"
Elektrotechnika;"Politechnika Śląska; Wydział Elektryczny"
Elektrotechnika;"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Telekomunikacji, Informatyki i Elektrotechniki"
Elektrotechnika;"Politechnika Wrocławska; Wydział Elektryczny"
Elektrotechnika;"Politechnika Białostocka; Wydział Elektryczny"
Elektrotechnika;"Politechnika Gdańska; Wydział Elektrotechniki i Automatyki"
Elektrotechnika;Państwowa Wyższa Szkoła Zawodowa w Chełmie
Elektrotechnika;"Politechnika Opolska; Wydział Elektrotechniki, Automatyki i Informatyki"
Elektrotechnika;"Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Inżynierii Elektrycznej i Komputerowej"
Elektrotechnika;"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Elektryczny"
Elektrotechnika;"Politechnika Warszawska; Wydział Elektryczny"
Elektrotechnika;"Politechnika Świętokrzyska w Kielcach; Wydział Elektrotechniki, Automatyki i Informatyki"
Elektrotechnika;Państwowa Wyższa Szkoła Zawodowa im. Stanisława Staszica w Pile
Elektrotechnika;"Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu; Wydział Politechniczny"
Elektrotechnika;"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Transportu i Elektrotechniki"
Elektrotechnika;"Politechnika Lubelska; Wydział Elektrotechniki i Informatyki"
Elektrotechnika;"Politechnika Częstochowska; Wydział Elektryczny"
Elektrotechnika;"Akademia Morska w Gdyni; Wydział Elektryczny"
Elektrotechnika;"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Elektrotechniki, Automatyki, Informatyki i Inżynierii Biomedycznej"
Elektrotechnika;Uczelnia Warszawska im. Marii Skłodowskiej-Curie w Warszawie
Energetyka;"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Elektroniki"
Energetyka;"Politechnika Łódzka; Wydział Mechaniczny"
Energetyka;"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Energetyka;"Politechnika Poznańska; Wydział Elektryczny"
Energetyka;"Politechnika Wrocławska; Wydział Mechaniczno-Energetyczny"
Energetyka;"Politechnika Śląska; Wydział Inżynierii Środowiska i Energetyki"
Energetyka;"Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Mechaniczny"
Energetyka;"Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Nauk Technicznych"
Energetyka;"Politechnika Białostocka; Wydział Elektryczny"
Energetyka;"Politechnika Koszalińska; Wydział Mechaniczny"
Energetyka;"Wyższa Szkoła Kadr Menedżerskich w Koninie z siedzibą w Koninie; Wydział Energetyki"
Energetyka;"Politechnika Częstochowska; Wydział Inżynierii Mechanicznej i Informatyki"
Energetyka;Państwowa Wyższa Szkoła Zawodowa im. Stanisława Pigonia w Krośnie
Energetyka;"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Telekomunikacji, Informatyki i Elektrotechniki"
Energetyka;"Politechnika Śląska; Wydział Elektryczny"
Energetyka;Państwowa Wyższa Szkoła Zawodowa w Sulechowie
Energetyka;"Państwowa Wyższa Szkoła Zawodowa im. Jakuba z Paradyża w Gorzowie Wielkopolskim; Wydział Techniczny"
Fizyka techniczna;"Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Matematyczno-Przyrodniczy"
Fizyka techniczna;"Politechnika Częstochowska; Wydział Inżynierii Produkcji i Technologii Materiałów"
gastronomia i hotelarstwo;"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Nauk o Żywieniu Człowieka i Konsumpcji"
Gastronomia i sztuka kulinarna;"Uniwersytet Przyrodniczy w Lublinie; Wydział Nauk o Żywności i Biotechnologii"
Geodezja i kartografia;"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Inżynierii Lądowej i Geodezji"
Geodezja i kartografia;"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Inżynierii Środowiska i Geodezji"
Geodezja i kartografia;"Państwowa Wyższa Szkoła Techniczno-Ekonomiczna im. ks. Bronisława Markiewicza w Jarosławiu; Instytut Inżynierii Technicznej"
Geodezja i kartografia;"Wyższa Szkoła Inżynieryjno-Ekonomiczna w Rzeszowie; Wydział Przedsiębiorczości"
Geodezja i kartografia;"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Geodezji Górniczej i Inżynierii Środowiska"
Geodezja i kartografia;"Uniwersytet Warmińsko-Mazurski w Olsztynie; Wydział Geodezji, Inżynierii Przestrzennej i Budownictwa"
Geodezja i kartografia;"Wyższa Szkoła Gospodarki Krajowej w Kutnie; Wydział Nauk Technicznych"
Geodezja i kartografia;"Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy; Wydział Techniczny"
Geodezja i kartografia;"Dolnośląska Szkoła Wyższa z siedzibą we Wrocławiu; Wydział Nauk Technicznych"
Geodezja i kartografia;"Wyższa Szkoła Biznesu i Przedsiębiorczości w Ostrowcu Świętokrzyskim; Wydział Nauk Społecznych i Technicznych"
Geodezja i kartografia;"Politechnika Świętokrzyska w Kielcach; Wydział Inżynierii Środowiska, Geomatyki i Energetyki"
Geodezja i kartografia;"Uniwersytet Przyrodniczy we Wrocławiu; Wydział Inżynierii Kształtowania Środowiska i Geodezji"
Geodezja i kartografia;"Politechnika Warszawska; Wydział Geodezji i Kartografii"
Geodezja i kartografia;"Wyższa Szkoła Inżynierii Gospodarki w Słupsku; Wydział Gospodarki Przestrzennej i Geodezji"
Geodezja i kartografia;Uczelnia Warszawska im. Marii Skłodowskiej-Curie w Warszawie
